model_name,threshold,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_average_precision,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_average_precision
GradientBoosting,0.25,0.986,0.8949256599043823,0.7971014492753623,0.7971014492753623,0.7971014492753623,0.9378034959734012,0.8328373324636978,0.987,0.9037749814951888,0.8142857142857143,0.8142857142857143,0.8142857142857143,0.9891672834937084,0.9053090429918372
RandomForest,0.4,0.989,0.882504371843079,0.8983050847457628,0.7681159420289855,0.828125,0.9386591013141798,0.8140351115895783,0.989,0.884159881569208,0.9,0.7714285714285715,0.8307692307692308,0.9892450037009622,0.8841943998711201
ExtraTrees,0.35,0.981,0.843424222637516,0.7384615384615385,0.6956521739130435,0.7164179104477612,0.9246992247014763,0.7546500091163136,0.9835,0.8468911917098445,0.8032786885245902,0.7,0.7480916030534351,0.9849592894152479,0.7917491488208246
DeepLearning_TF,0.3,0.9805,0.8222029585932047,0.75,0.6521739130434783,0.6976744186046512,0.9290447991954308,0.7124994776320863,0.979,0.8032568467801628,0.7413793103448276,0.6142857142857143,0.671875,0.9800518134715026,0.6961555354816612
NeuralNetwork_MLP,0.85,0.9815,0.8087459377509588,0.7962962962962963,0.6231884057971014,0.6991869918699187,0.9178393713552339,0.722017046007614,0.9805,0.7971502590673575,0.7924528301886793,0.6,0.6829268292682927,0.9802960769800149,0.7424232311222508
LogisticRegression,0.9,0.958,0.782601190342167,0.422680412371134,0.5942028985507246,0.4939759036144578,0.9112121826192031,0.5256176461633093,0.9635,0.8089933382679497,0.4838709677419355,0.6428571428571429,0.5521472392638037,0.965440414507772,0.6547604234575607
